,title,address
0,Waffle House #1004,"1900 COMMERCE ST CULLMAN, AL 35055 US"
1,Waffle House #1013,"183 HIGHWAY 43 SOUTH TUSCUMBIA, AL 35674 US"
2,Waffle House #1033,"1440 GADSDEN HWY BIRMINGHAM, AL 35235 US"
3,Waffle House #1035,"2167 S. COLLEGE ST. AUBURN, AL 36830 US"
4,Waffle House #1043,"2442 SOUTH OATES ST DOTHAN, AL 36301 US"
5,Waffle House #1093,"1850 ASHVILLE RD LEEDS, AL 35094 US"
6,Waffle House #1113,"7031 THEODORE DAWES THEODORE, AL 36582 US"
7,Waffle House #1151,"5419 HWY 280 SOUTH BIRMINGHAM, AL 35244 US"
8,Waffle House #1165,"5448 US HWY 90 W MOBILE, AL 36619 US"
9,Waffle House #1166,"1738 OPELIKA RD AUBURN, AL 36830 US"
10,Waffle House #1179,"80 ALABAMA HWY 75 N ALBERTVILLE, AL 35951 US"
11,Waffle House #1184,"5037 OSCAR BAXTER DR TUSCALOOSA, AL 35405 US"
12,Waffle House #1197,"2635 CONG. W. L. MONTGOMERY, AL 36109 US"
13,Waffle House #1221,"9190 GRAND BAY GRAND BAY, AL 36541 US"
14,Waffle House #1248,"580 FOB JAMES PKWY VALLEY, AL 36854 US"
15,Waffle House #1265,"1000 RAINBOW DR GADSDEN, AL 35901 US"
16,Waffle House #1283,"2501 FLORENCE BLVD FLORENCE, AL 35630 US"
17,Waffle House #1284,"65 JIMMY HINTON DR OXFORD, AL 36203 US"
18,Waffle House #1295,"1985 HWY 31 S BIRMINGHAM, AL 35244 US"
19,Waffle House #1301,"6781 US HWY 90 DAPHNE, AL 36526 US"
20,Waffle House #1303,"560 SCHILLINGER RD MOBILE, AL 36695 US"
21,Waffle House #1316,"5001 SKYLAND BLVD E TUSCALOOSA, AL 35405 US"
22,Waffle House #1317,"2325 REEVES ST DOTHAN, AL 36303 US"
23,Waffle House #134,"2800 20TH AVE VALLEY, AL 36854 US"
24,Waffle House #1340,"5010 ACADEMY LN BESSEMER, AL 35022 US"
25,Waffle House #1365,"2965 PELHAM PKWY PELHAM, AL 35124 US"
26,Waffle House #1372,"2053 GUNTER AVE GUNTERSVILLE, AL 35976 US"
27,Waffle House #1384,"36 SHIELDS RD HUNTSVILLE, AL 35811 US"
28,Waffle House #1405,"7106 BAILEY CREEK HUNTSVILLE, AL 35802 US"
29,Waffle House #1429,"6097 HWY 43 NORTH SATSUMA, AL 36572 US"
30,Waffle House #1430,"90 FOLMAR PKWY MONTGOMERY, AL 36105 US"
31,Waffle House #1442,"791 BUSINESS PARK DR PRATTVILLE, AL 36066 US"
32,Waffle House #1443,"1334 WALKER CHAPEL FULTONDALE, AL 35068 US"
33,Waffle House #1462,"373 SOUTH GREENO RD FAIRHOPE, AL 36532 US"
34,Waffle House #1468,"970 HWY 231 SOUTH OZARK, AL 36360 US"
35,Waffle House #1475,"961 GILBERT FERRY ATTALLA, AL 35954 US"
36,Waffle House #1480,"2423 SCHILLINGER RD MOBILE, AL 36695 US"
37,Waffle House #1484,"1208 A HWY 231 SOUTH TROY, AL 36081 US"
38,Waffle House #150,"1925 MCFARLAND BLVD NORTHPORT, AL 35476 US"
39,Waffle House #1503,"3401 SCHILLINGER RD SEMMES, AL 36575 US"
